我现在给你如下数据：
id	issue	draw_date	red1	red2	red3	red4	red5	red6	blue
3422	03021	2003-05-04	14	15	18	25	26	30	1
3417	03026	2003-05-22	8	13	15	26	29	31	16
3414	03029	2003-06-01	2	7	15	26	29	32	10
3364	03079	2003-11-23	12	15	22	23	26	31	4
3280	04074	2004-09-09	5	6	15	19	26	29	13
3248	04106	2004-11-23	10	15	23	26	28	29	12
3242	04112	2004-12-07	9	13	15	21	26	33	6
3154	05078	2005-07-07	3	11	15	20	26	32	11
3145	05087	2005-07-28	8	9	15	16	23	26	8
3141	05091	2005-08-07	1	11	12	15	26	27	13
3119	05113	2005-09-27	15	18	20	22	26	27	3
3114	05118	2005-10-09	4	9	12	15	26	31	16
3039	06040	2006-04-09	15	22	25	26	28	33	3
2999	06080	2006-07-11	15	17	20	22	26	29	9
2982	06097	2006-08-20	11	14	15	20	26	27	12
2862	07063	2007-06-03	10	15	17	24	26	28	12
2764	08008	2008-01-17	2	15	16	23	26	27	7
2745	08027	2008-03-09	15	18	19	23	24	26	13
2705	08067	2008-06-10	10	11	15	19	26	33	13
2647	08125	2008-10-23	10	11	12	15	26	29	9
2601	09017	2009-02-15	6	14	15	19	25	26	8
2590	09028	2009-03-12	3	6	12	15	23	26	10
2583	09035	2009-03-29	6	15	21	26	29	31	5
2575	09043	2009-04-16	4	9	10	15	18	26	7
2560	09058	2009-05-21	5	8	10	15	23	26	9
2501	09117	2009-10-06	5	9	15	21	26	31	13
2490	09128	2009-11-01	5	8	15	16	26	32	1
2473	09145	2009-12-10	3	5	11	15	26	33	11
2454	10010	2010-01-24	7	8	12	15	22	26	8
2437	10027	2010-03-11	3	4	15	25	26	30	13
2358	10106	2010-09-12	2	6	8	15	26	29	16
2333	10131	2010-11-09	5	6	15	16	19	26	6
2299	11012	2011-01-27	7	8	11	13	15	26	13
2294	11017	2011-02-15	2	6	15	23	26	33	8
2234	11077	2011-07-05	1	7	8	15	26	29	10
2169	11142	2011-12-04	12	15	16	26	29	31	2
2166	11145	2011-12-11	2	4	14	15	26	30	4
2147	12011	2012-01-31	4	14	15	16	20	26	5
2129	12029	2012-03-13	4	7	15	25	26	28	3
2100	12058	2012-05-20	3	6	15	20	25	26	4
2075	12083	2012-07-17	4	9	14	15	26	33	4
1997	13007	2013-01-15	2	9	15	22	26	32	1
1970	13034	2013-03-26	6	15	20	22	26	33	9
1969	13035	2013-03-28	1	14	15	17	26	30	2
1912	13092	2013-08-08	7	11	15	21	26	31	6
1906	13098	2013-08-22	7	15	18	19	20	26	14
1888	13116	2013-10-03	12	15	21	26	32	33	7
1885	13119	2013-10-10	5	15	20	22	26	32	9
1882	13122	2013-10-17	7	10	13	15	26	27	11
1854	13150	2013-12-22	1	15	16	25	26	29	10
1788	14062	2014-06-03	6	9	15	24	25	26	9
1732	14118	2014-10-12	5	7	15	18	26	30	3
1725	14125	2014-10-28	10	11	15	26	31	32	6
1668	15030	2015-03-17	8	11	14	15	16	26	7
1659	15039	2015-04-07	1	13	15	26	29	30	12
1655	15043	2015-04-16	11	12	15	24	26	27	15
1636	15062	2015-05-31	9	14	15	18	21	26	16
1630	15068	2015-06-14	6	15	18	21	26	27	10
1619	15079	2015-07-09	9	14	15	20	26	32	11
1606	15092	2015-08-09	9	15	19	21	26	27	1
1582	15116	2015-10-04	4	6	15	23	26	28	11
1507	16037	2016-04-03	6	15	26	31	32	33	16
1277	17114	2017-09-28	6	12	13	15	18	26	13
1237	17154	2017-12-31	5	9	13	15	18	26	5
